C1,Knockdown
C2,OneTwoThreeFourFive
C3,Mean
C4,House
C5,Honey Bees
C6,Alphanumerics
C7,Newspaper
C8,Sword of Josephus
C9,Restaurant
C10,Two Distances
CJ,Dealing Cards
CQ,Lost Cards
CK,Monkey Business
D1,Table Handshakes
D2,Triangular Slices
D3,Scoring Goals
D4,Colouring
D5,Avoid the River
D6,Shaking Hands
D7,Pieces of Cake
D8,Mixed-up Socks
D9,Counting Squares
D10,Going to School
DJ,Different Paths
DQ,Bar Stools
DK,Paving Paths
H1,Birthday Probability
H2,Kaprekar_s Number
H3,Palindrome Cube
H4,Four Colours
H5,Ramanujan
H6,Abundant Numbers
H7,Folding Paper
H8,Prime Removal
H9,Shuffling Cards
H10,Square Numbers and Triangular Numbers
HJ,Benford_s Law
HQ,Lychrel Numbers
HK,Collatz Conjecture
S1,Fifteen
S2,Patience
S3,Twenty-one
S4,Nim
S5,Mastermind
S6,Latin Squares
S7,Gomoku
S8,Sim
S9,Pong Hau K_i
S10,Stop or Dare
SJ,Twenty-four
SQ,Card Sums
SK,WinTwoThreeFour
